time;aoi;measurement_2020;indicatorValue;referenceTime;measurement_2019;dataProvider;eoSensor;colorCode;inputData
2020-02-01T00:00:00.000Z;LatLng(44.405723, 8.933642);272;;2019-02-01T00:00:00.000Z;227;e-GEOS;AIS;PRIMARY;AIS
2020-02-15T00:00:00.000Z;LatLng(44.405723, 8.933642);290;;2019-02-15T00:00:00.000Z;252;e-GEOS;AIS;PRIMARY;AIS
2020-03-01T00:00:00.000Z;LatLng(44.405723, 8.933642);283;;2019-03-01T00:00:00.000Z;282;e-GEOS;AIS;PRIMARY;AIS
2020-03-15T00:00:00.000Z;LatLng(44.405723, 8.933642);280;;2019-03-15T00:00:00.000Z;326;e-GEOS;AIS;PRIMARY;AIS
2020-04-01T00:00:00.000Z;LatLng(44.405723, 8.933642);215;;2019-04-01T00:00:00.000Z;263;e-GEOS;AIS;PRIMARY;AIS
2020-04-15T00:00:00.000Z;LatLng(44.405723, 8.933642);267;;2019-04-15T00:00:00.000Z;314;e-GEOS;AIS;PRIMARY;AIS
2020-05-01T00:00:00.000Z;LatLng(44.405723, 8.933642);219;;2019-05-01T00:00:00.000Z;269;e-GEOS;AIS;PRIMARY;AIS
2020-05-15T00:00:00.000Z;LatLng(44.405723, 8.933642);254;;2019-05-15T00:00:00.000Z;361;e-GEOS;AIS;PRIMARY;AIS
