time;aoi;measurement_2020;indicatorValue;referenceTime;measurement_2019;dataProvider;eoSensor;colorCode;inputData
2020-02-01T00:00:00.000Z;LatLng(44.405723, 8.933642);237;;2019-02-01T00:00:00.000Z;248;e-GEOS;AIS;;AIS
2020-02-15T00:00:00.000Z;LatLng(44.405723, 8.933642);219;;2019-02-15T00:00:00.000Z;279;e-GEOS;AIS;;AIS
2020-03-01T00:00:00.000Z;LatLng(44.405723, 8.933642);201;;2019-03-01T00:00:00.000Z;285;e-GEOS;AIS;;AIS
2020-03-15T00:00:00.000Z;LatLng(44.405723, 8.933642);290;;2019-03-15T00:00:00.000Z;320;e-GEOS;AIS;;AIS
2020-04-01T00:00:00.000Z;LatLng(44.405723, 8.933642);230;;2019-04-01T00:00:00.000Z;208;e-GEOS;AIS;;AIS
2020-04-15T00:00:00.000Z;LatLng(44.405723, 8.933642);248;;2019-04-15T00:00:00.000Z;220;e-GEOS;AIS;;AIS
2020-05-01T00:00:00.000Z;LatLng(44.405723, 8.933642);233;;2019-05-01T00:00:00.000Z;239;e-GEOS;AIS;;AIS
2020-05-15T00:00:00.000Z;LatLng(44.405723, 8.933642);244;;2019-05-15T00:00:00.000Z;269;e-GEOS;AIS;;AIS
