time;aoi;measurement_2020;indicatorValue;referenceTime;measurement_2019;dataProvider;eoSensor;colorCode;inputData
2020-02-01T00:00:00.000Z;LatLng(44.405723, 8.933642);610;;2019-02-01T00:00:00.000Z;550;e-GEOS;AIS;;AIS
2020-02-15T00:00:00.000Z;LatLng(44.405723, 8.933642);662;;2019-02-15T00:00:00.000Z;541;e-GEOS;AIS;;AIS
2020-03-01T00:00:00.000Z;LatLng(44.405723, 8.933642);560;;2019-03-01T00:00:00.000Z;623;e-GEOS;AIS;;AIS
2020-03-15T00:00:00.000Z;LatLng(44.405723, 8.933642);520;;2019-03-15T00:00:00.000Z;653;e-GEOS;AIS;;AIS
2020-04-01T00:00:00.000Z;LatLng(44.405723, 8.933642);446;;2019-04-01T00:00:00.000Z;557;e-GEOS;AIS;;AIS
2020-04-15T00:00:00.000Z;LatLng(44.405723, 8.933642);561;;2019-04-15T00:00:00.000Z;656;e-GEOS;AIS;;AIS
2020-05-01T00:00:00.000Z;LatLng(44.405723, 8.933642);538;;2019-05-01T00:00:00.000Z;698;e-GEOS;AIS;;AIS
2020-05-15T00:00:00.000Z;LatLng(44.405723, 8.933642);700;;2019-05-15T00:00:00.000Z;944;e-GEOS;AIS;;AIS
