time;aoi;measurement_2020;indicatorValue;referenceTime;measurement_2019;dataProvider;eoSensor;colorCode;inputData
2020-02-01T00:00:00.000Z;LatLng(44.405723, 8.933642);148;;2019-02-01T00:00:00.000Z;175;e-GEOS;AIS;;AIS
2020-02-15T00:00:00.000Z;LatLng(44.405723, 8.933642);170;;2019-02-15T00:00:00.000Z;163;e-GEOS;AIS;;AIS
2020-03-01T00:00:00.000Z;LatLng(44.405723, 8.933642);133;;2019-03-01T00:00:00.000Z;161;e-GEOS;AIS;;AIS
2020-03-15T00:00:00.000Z;LatLng(44.405723, 8.933642);154;;2019-03-15T00:00:00.000Z;194;e-GEOS;AIS;;AIS
2020-04-01T00:00:00.000Z;LatLng(44.405723, 8.933642);126;;2019-04-01T00:00:00.000Z;188;e-GEOS;AIS;;AIS
2020-04-15T00:00:00.000Z;LatLng(44.405723, 8.933642);166;;2019-04-15T00:00:00.000Z;185;e-GEOS;AIS;;AIS
2020-05-01T00:00:00.000Z;LatLng(44.405723, 8.933642);123;;2019-05-01T00:00:00.000Z;146;e-GEOS;AIS;;AIS
2020-05-15T00:00:00.000Z;LatLng(44.405723, 8.933642);160;;2019-05-15T00:00:00.000Z;204;e-GEOS;AIS;;AIS
