time;aoi;measurement_2020;indicatorValue;referenceTime;measurement_2019;dataProvider;eoSensor;colorCode;inputData
2020-02-01T00:00:00.000Z;LatLng(44.405723, 8.933642);25;;2019-02-01T00:00:00.000Z;5;e-GEOS;AIS;;AIS
2020-02-15T00:00:00.000Z;LatLng(44.405723, 8.933642);22;;2019-02-15T00:00:00.000Z;9;e-GEOS;AIS;;AIS
2020-03-01T00:00:00.000Z;LatLng(44.405723, 8.933642);13;;2019-03-01T00:00:00.000Z;10;e-GEOS;AIS;;AIS
2020-03-15T00:00:00.000Z;LatLng(44.405723, 8.933642);12;;2019-03-15T00:00:00.000Z;35;e-GEOS;AIS;;AIS
2020-04-01T00:00:00.000Z;LatLng(44.405723, 8.933642);14;;2019-04-01T00:00:00.000Z;68;e-GEOS;AIS;;AIS
2020-04-15T00:00:00.000Z;LatLng(44.405723, 8.933642);34;;2019-04-15T00:00:00.000Z;57;e-GEOS;AIS;;AIS
2020-05-01T00:00:00.000Z;LatLng(44.405723, 8.933642);36;;2019-05-01T00:00:00.000Z;43;e-GEOS;AIS;;AIS
2020-05-15T00:00:00.000Z;LatLng(44.405723, 8.933642);51;;2019-05-15T00:00:00.000Z;72;e-GEOS;AIS;;AIS
